Kennung;Name;" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
01011101;Stülerstr.;0.95;8.14;1.26;6.46;0.66;17.92
01011102;Großer Tiergarten;1.95;14.29;3.23;15.38;0.00;0.00
01011103;Lützowstr.;1.80;20.02;2.33;13.48;1.05;44.79
01011104;Körnerstr.;1.11;27.05;1.24;22.43;0.97;40.43
01011105;Nördl. Landwehrkanal;0.29;2.37;0.20;1.21;0.37;6.52
01011201;Wilhelmstr.;0.30;3.75;0.34;1.86;0.25;11.54
01011202;Unter den Linden Nord;0.22;1.09;0.38;1.23;0.00;0.00
01011203;Unter den Linden Süd;0.37;3.41;0.67;2.67;0.00;7.69
01011204;Leipziger Str.;0.78;4.60;1.15;3.31;0.22;17.33
01011301;Charitéviertel;0.39;2.94;0.58;3.01;0.05;2.41
01011302;Oranienburger Str.;0.58;5.32;0.76;4.71;0.20;9.76
01011303;Alexanderplatzviertel;0.83;6.70;1.30;5.77;0.19;19.61
01011304;Karl-Marx-Allee;1.50;2.97;2.00;2.03;0.68;27.08
01011305;Heine-Viertel West;0.46;2.14;0.68;1.38;0.05;15.84
01011306;Heine-Viertel Ost;0.51;2.72;0.76;2.23;0.10;9.52
01011401;Invalidenstr.;0.43;5.99;0.63;5.71;0.06;7.94
01011402;Arkonaplatz;0.30;5.63;0.44;5.44;0.03;7.23
01022101;Huttenkiez;1.38;20.27;1.59;19.34;1.08;22.62
01022102;Beusselkiez;1.68;22.71;2.03;21.86;1.26;23.98
01022103;Westhafen;17.34;30.00;45.76;25.00;2.63;37.50
01022104;Emdener Str.;1.57;16.05;1.93;14.27;0.93;20.93
01022105;Zwinglistr.;1.81;20.07;1.95;16.88;1.61;27.38
01022106;Elberfelder Str.;1.07;7.65;1.22;6.69;0.61;15.42
01022201;Stephankiez;1.46;14.78;1.71;14.07;0.97;16.80
01022202;Heidestr.;1.74;15.05;1.79;13.38;1.66;18.75
01022203;Lübecker Str.;1.95;19.03;2.01;14.43;1.84;28.48
01022204;Thomasiusstr.;1.25;9.62;1.47;7.80;0.83;22.76
01022205;Zillesiedlung;3.45;21.40;5.00;17.95;1.00;34.51
01022206;Lüneburger Str.;1.11;11.73;1.07;10.34;1.21;20.63
01022207;Hansaviertel;0.78;9.15;1.07;6.78;0.40;33.33
01033101;Soldiner Str.;1.70;17.62;2.29;14.43;1.02;24.76
01033102;Gesundbrunnen;1.51;14.38;1.75;10.80;1.21;21.86
01033201;Brunnenstr.;1.80;18.26;2.10;15.32;1.32;26.47
01033202;Humboldthain Süd;1.86;11.93;2.42;10.85;0.87;16.88
01033203;Humboldthain NW;2.15;18.29;2.84;14.45;1.34;27.40
01044101;Rehberge;1.42;10.16;1.67;8.04;0.99;20.30
01044102;Schillerpark;1.76;7.39;2.06;6.56;1.09;15.90
01044103;Westl. Müllerstr.;1.28;17.40;1.69;14.49;0.64;25.62
01044201;Reinickendorfer Str.;1.88;18.08;2.34;15.76;1.41;22.27
01044202;Sparrplatz;1.67;18.26;2.44;15.02;0.73;26.44
01044203;Leopoldplatz;2.59;21.35;3.48;18.58;1.47;27.59
02010101;Askanischer Platz;2.12;23.19;3.18;18.65;1.09;34.08
02010102;Mehringplatz;2.63;25.30;3.43;20.78;1.45;36.07
02010103;Moritzplatz;2.27;17.48;2.71;15.74;1.69;20.98
02010104;Wassertorplatz;2.98;26.89;3.60;22.57;2.03;36.61
02020201;Gleisdreieck/Entwickl.-gebiet;0.85;2.09;1.12;1.90;0.00;3.45
02020202;Rathaus Yorckstraße;1.20;13.54;1.27;12.25;1.05;18.25
02020203;Viktoriapark;0.77;11.45;0.83;10.73;0.60;14.76
02020204;Urbanstraße;1.21;14.35;1.41;12.26;0.77;21.63
02020205;Chamissokiez;1.17;13.14;1.30;12.66;0.85;14.60
02020206;Graefekiez;1.54;16.49;1.61;13.30;1.40;26.36
02030301;Oranienplatz;2.72;22.31;3.16;27.14;2.08;19.14
02030302;Lausitzer Platz;2.18;20.86;2.50;22.32;1.63;18.74
02030401;Reichenberger Straße;1.86;17.20;2.28;17.44;1.11;16.74
02030402;Wrangelkiez;1.52;18.50;1.89;21.01;0.88;15.80
02040501;Barnimkiez;1.67;1.84;1.90;1.58;0.97;17.86
02040502;Friedenstraße;0.99;3.52;1.24;2.69;0.24;27.91
02040503;Richard-Sorge-Viertel;0.94;2.90;1.08;2.21;0.40;28.57
02040701;Andreasviertel;1.13;4.90;1.35;3.83;0.76;35.56
02040702;Weberwiese;0.73;3.95;0.89;3.63;0.25;17.24
02040703;Wriezener Bahnh./Entwickl.-geb.;0.56;24.14;0.77;17.65;0.40;33.33
02050601;Hausburgviertel;0.94;11.20;1.11;9.55;0.43;37.93
02050602;Samariterviertel;0.89;9.88;1.02;7.53;0.51;36.78
02050801;Traveplatz;0.98;9.47;1.07;7.88;0.73;33.33
02050802;Boxhagener Platz;0.54;6.55;0.71;5.56;0.06;15.19
02050803;Stralauer Kiez;0.69;7.87;0.84;6.49;0.29;30.00
02050804;Stralauer Halbinsel;0.34;2.05;0.34;1.73;0.38;8.33
03010101;Bucher Forst;1.78;2.58;1.95;2.31;0.59;18.18
03010102;Buch;2.15;2.17;2.61;2.09;0.23;11.54
03010104;Lietzengraben;2.58;25.00;2.42;25.00;3.45;0.00
03020203;Blankenfelde;0.68;0.74;0.78;0.74;0.00;0.00
03020209;Niederschönhausen;0.73;1.82;0.78;1.73;0.34;6.82
03020210;Herthaplatz;0.94;2.05;0.99;2.03;0.53;4.00
03020307;Buchholz;0.90;3.13;0.94;2.99;0.39;12.00
03030405;Karow-Nord;0.89;3.10;0.97;2.70;0.26;38.10
03030406;Alt-Karow;0.48;0.85;0.50;0.81;0.00;5.88
03030711;Blankenburg;0.34;0.50;0.33;0.50;0.64;0.00
03030715;Heinersdorf;0.89;1.44;1.00;1.33;0.26;7.69
03030716;Märchenland;0.00;0.28;0.00;0.28;0.00;0.00
03040508;Rosenthal;0.58;1.87;0.59;1.41;0.47;10.53
03040512;Wilhelmsruh;0.63;2.01;0.70;1.77;0.00;15.38
03040513;Schönholz;0.40;2.03;0.44;1.91;0.00;11.11
03040614;Pankow-Zentrum;0.99;2.40;1.08;2.22;0.27;12.50
03040818;Pankow-Süd;1.07;3.31;1.20;3.13;0.28;12.50
03050919;Gustav-Adolf-Straße;1.01;4.13;1.18;3.74;0.17;26.32
03050920;Weißer See;1.38;1.78;1.48;1.73;0.56;5.88
03050923;Weißenseer Spitze;1.36;4.07;1.57;4.03;0.40;6.67
03050924;Behaimstraße;1.18;7.35;1.46;7.11;0.00;11.54
03050925;Komp.-viertel Weißensee;0.98;3.65;1.11;3.24;0.22;17.14
03051017;Rennbahnstraße;0.99;3.24;1.07;2.80;0.67;21.43
03051021;Buschallee;1.74;2.31;1.92;2.17;0.25;27.27
03051022;Hansastraße;1.16;0.83;1.24;0.83;0.00;0.00
03061126;Arnimplatz;0.77;6.68;0.96;6.26;0.17;16.67
03061131;Falkplatz;0.54;6.95;0.75;7.37;0.00;2.33
03061227;Humannplatz;0.64;4.98;0.74;4.88;0.25;7.84
03061228;Erich-Weinert-Straße;1.23;4.70;1.45;4.13;0.33;28.26
03061332;Helmholtzplatz;0.78;10.42;0.93;9.96;0.32;14.43
03061429;Greifswalder Straße;1.86;1.78;2.09;1.62;0.64;22.58
03061430;Volkspark Prenzlauer Berg;1.40;2.58;2.08;2.16;0.41;21.05
03061434;Anton-Saefkow-Park;1.15;5.92;1.40;4.81;0.27;24.24
03061435;Conrad-Blenkle-Straße;1.04;5.72;1.28;4.14;0.29;37.50
03061441;Eldenaer Straße;0.74;0.51;0.84;0.53;0.32;0.00
03071536;Teutoburger Platz;0.53;6.24;0.69;5.52;0.16;11.29
03071537;Kollwitzplatz;0.53;5.89;0.67;6.06;0.18;4.50
03071633;Thälmannpark;2.27;8.60;3.00;8.06;0.18;50.00
03071638;Winsstraße;0.56;4.65;0.70;4.57;0.15;5.62
03071639;Bötzowstraße;0.93;4.47;1.11;4.28;0.26;7.84
04010101;Jungfernheide;1.65;8.31;2.10;6.97;0.81;19.54
04010102;Plötzensee;0.61;2.22;1.02;2.47;0.00;0.00
04010103;Paul-Hertz-Siedlung;1.79;12.97;2.27;9.14;0.88;40.00
04020204;Olympiagelände;0.00;0.00;0.00;0.00;0.00;0.00
04020205;Siedlung Ruhleben;0.00;1.40;0.00;1.17;0.00;7.69
04020206;Angerburger Allee;1.31;2.59;1.60;2.56;0.55;3.13
04020207;Flatowallee;0.39;2.64;0.51;2.82;0.00;0.00
04020208;Kranzallee;1.33;1.98;1.50;1.45;0.64;9.80
04020209;Eichkamp;0.19;0.30;0.34;0.16;0.00;3.13
04020310;Park Ruhwald;0.42;1.90;0.92;1.03;0.00;12.50
04020311;Reichsstraße;0.79;3.77;0.94;3.62;0.41;5.54
04020312;Branitzer Platz;1.10;4.58;1.32;3.06;0.47;25.23
04020313;Königin-Elisabeth-Straße;0.81;6.46;0.90;4.97;0.57;18.03
04020314;Messegelände;0.00;0.00;0.00;0.00;0.00;0.00
04030415;Schloßgarten;3.25;16.82;5.62;14.22;0.89;31.58
04030416;Klausenerplatz;1.63;17.03;2.07;14.47;0.64;23.11
04030417;Schloßstraße;0.88;10.55;1.05;10.12;0.45;12.91
04030518;Tegeler Weg;1.33;11.64;1.56;10.27;0.82;16.76
04030519;Kaiserin-Augusta-Allee;1.70;8.41;2.01;7.25;1.00;13.14
04030620;Alt-Lietzow;1.33;9.51;1.59;7.32;0.79;22.46
04030621;Spreestadt;1.41;17.05;1.87;13.67;0.75;27.96
04030622;Richard-Wagner-Straße;1.36;13.22;1.70;11.95;0.68;18.69
04030623;Ernst-Reuter-Platz;1.28;17.46;1.73;12.14;0.54;34.51
04030724;Lietzensee;1.20;8.34;1.31;5.08;0.90;25.36
04030725;Amtsgerichtsplatz;0.72;6.80;0.90;6.20;0.31;9.94
04030726;Droysenstraße;0.79;6.75;0.70;6.55;0.97;7.88
04030827;Karl-August-Platz;1.03;11.64;1.42;11.11;0.44;13.09
04030828;Savignyplatz;0.67;8.03;0.86;7.35;0.31;10.71
04030929;Hindemithplatz;1.00;10.30;1.04;9.79;0.89;12.23
04030930;George-Grosz-Platz;0.67;7.46;0.63;7.23;0.74;8.28
04030931;Breitscheidplatz;0.78;8.81;1.06;8.65;0.45;9.26
04031032;Halensee;0.82;6.83;0.96;6.18;0.51;10.86
04041133;Güterbahnhof Grunewald;0.00;9.09;0.00;9.09;0.00;0.00
04041134;Bismarckallee;1.37;6.43;1.57;6.62;0.90;4.85
04041135;Hundekehle;1.22;1.36;1.30;1.41;1.02;0.94
04041136;Hagenplatz;0.75;2.58;1.03;2.39;0.00;4.55
04041137;Flinsberger Platz;0.80;6.26;0.83;5.50;0.74;12.73
04041238;Kissinger Straße;0.51;3.78;0.60;3.18;0.25;11.54
04041239;Stadion Wilmersdorf;1.17;10.00;3.75;13.33;0.00;0.00
04041240;Messelpark;0.26;1.67;0.33;1.75;0.00;0.00
04041241;Breite Straße;0.98;3.74;0.99;3.50;0.93;7.81
04041342;Schlangenbader Straße;2.11;8.83;2.27;7.96;1.61;17.56
04041343;Binger Straße;0.97;7.86;0.76;7.11;1.74;17.14
04041344;Rüdesheimer Platz;1.09;3.72;1.20;3.34;0.63;6.95
04051445;Eisenzahnstraße;0.88;7.79;0.98;7.01;0.62;11.98
04051446;Preußenpark;0.81;7.66;0.86;6.42;0.69;13.97
04051447;Ludwigkirchplatz;1.06;6.35;1.27;5.51;0.59;11.39
04051448;Schaperstraße;0.80;7.01;0.98;6.19;0.50;10.87
04051549;Rathaus Wilmersdorf;0.91;7.02;1.02;5.90;0.65;14.29
04051550;Leon-Jessel-Platz;0.92;9.15;1.07;7.79;0.54;15.18
04051551;Brabanter Platz;1.21;8.32;1.57;6.82;0.34;16.06
04051652;Nikolsburger Platz;0.72;7.17;0.90;6.03;0.32;14.24
04051653;Prager Platz;1.23;6.20;1.64;5.34;0.36;11.28
04051654;Wilhelmsaue;0.79;6.36;0.95;5.03;0.39;17.98
04051655;Babelsberger Straße;1.55;8.82;1.84;7.51;0.88;16.11
04051656;Hildegardstraße;0.57;6.30;0.66;5.45;0.25;12.50
04061757;Forst Grunewald;0.00;5.26;0.00;5.26;0.00;0.00
05010101;Hakenfelde Nord;1.33;3.13;1.47;2.86;0.67;8.53
05010102;Goltzstraße;1.94;3.86;2.36;3.42;0.58;12.50
05010103;Amorbacher Weg;1.83;3.54;1.86;2.75;1.59;22.22
05010204;Griesingerstr.;1.48;7.23;2.01;6.12;0.18;27.66
05010205;An der Tränke;0.28;1.19;0.32;1.34;0.00;0.00
05010206;Gütersloher Weg;1.81;6.25;2.19;5.38;0.71;23.26
05010207;Darbystr.;3.09;10.94;3.93;10.17;0.99;19.34
05010208;Germersheimer Platz;1.90;7.59;2.30;7.14;0.59;12.40
05010209;An der Kappe;1.17;2.54;1.33;2.30;0.45;6.45
05010310;Eckschanze;1.91;9.85;2.34;10.25;0.61;6.15
05010311;Eiswerder;2.19;5.43;2.83;4.79;0.82;10.91
05010312;Kurstr.;2.27;14.15;3.09;13.85;1.21;15.15
05010313;Ackerstr.;1.46;7.61;1.71;6.84;0.85;12.12
05010314;Carl-Schurz-Str.;1.74;8.14;2.01;6.84;0.94;16.67
05010339;Freiheit;0.17;2.15;0.40;2.60;0.00;0.00
05020415;Isenburger Weg;0.19;0.70;0.20;0.72;0.00;0.00
05020416;Am Heideberg;0.95;2.00;0.97;2.03;0.00;0.00
05020417;Staakener Str.;0.70;2.43;0.69;1.95;0.73;9.28
05020418;Spandauer Str.;0.92;4.22;1.04;3.82;0.41;12.00
05020419;Magistratsweg;1.84;5.55;1.98;4.90;1.20;21.79
05020420;Werkstr.;0.30;5.00;0.33;4.63;0.00;8.33
05020521;Döberitzer Weg;0.25;0.95;0.28;1.00;0.00;0.00
05020522;Pillnitzer Weg;1.95;9.48;2.53;7.43;0.91;32.17
05020523;Maulbeerallee;2.89;14.18;4.20;12.88;0.70;27.84
05020524;Weinmeisterhornweg;0.96;2.14;1.08;2.15;0.20;1.82
05020625;Borkumer Str.;1.10;6.99;1.33;5.70;0.48;25.00
05020626;Adamstr.;1.69;7.57;2.01;6.55;0.67;17.94
05020627;Tiefenwerder;2.77;12.27;3.90;10.57;0.54;38.00
05020628;Graetschelsteig;1.46;4.02;1.63;3.14;0.61;31.82
05020629;Börnicker Str.;0.68;1.70;0.72;1.69;0.39;2.08
05030730;Zitadellenweg;1.09;4.24;1.10;3.85;1.06;6.33
05030731;Gartenfelder Str.;1.92;6.96;2.21;6.46;1.09;13.04
05030832;Rohrdamm;1.36;7.49;1.65;6.33;0.62;13.56
05030833;Motardstr.;1.18;2.94;0.81;3.30;2.17;0.00
05040934;Alt-Gatow;0.31;1.18;0.26;0.72;0.56;10.87
05040935;Groß-Glienicker Weg;2.16;3.42;2.28;1.83;1.69;25.00
05040936;Jägerallee;0.21;1.09;0.23;1.08;0.00;1.20
05040937;Kladower Damm;0.46;1.03;0.50;0.93;0.00;4.17
05040938;Kafkastr.;0.16;0.00;0.11;0.00;0.72;0.00
06010101;Fichtenberg;0.61;2.77;0.66;2.26;0.40;12.38
06010102;Schloßstr.;0.71;5.48;0.79;4.44;0.45;13.13
06010103;Markelstr.;0.81;6.18;0.88;5.37;0.52;11.61
06010204;Munsterdamm;1.16;5.20;1.26;4.42;0.78;14.06
06010205;Südende;0.93;5.98;1.11;5.14;0.23;16.33
06010206;Stadtpark;1.43;6.10;1.56;4.43;0.81;21.69
06010207;Mittelstr.;1.02;5.52;1.17;5.07;0.47;10.42
06010208;Bergstr.;1.07;7.47;1.20;6.74;0.49;13.99
06010209;Feuerbachstr.;0.93;6.19;1.04;5.49;0.53;11.96
06010210;Bismarckstr.;1.41;6.10;1.37;5.61;1.57;11.36
06020301;Alt-Lankwitz;2.25;3.62;2.49;3.31;0.93;10.14
06020302;Komponistenviertel Lankwitz;0.82;2.36;0.90;1.81;0.40;11.43
06020303;Lankwitz-Kirche;1.50;5.94;1.58;5.26;1.18;14.66
06020304;Kaiser-Wilhelm-Str.;1.22;6.20;1.44;5.59;0.24;14.68
06020305;Gemeindepark Lankwitz;1.90;6.25;2.29;5.14;0.63;20.38
06020306;Lankwitz-Süd;1.01;2.85;0.98;2.51;1.23;10.96
06020407;Thermometersiedlung;1.03;8.15;1.34;7.35;0.44;15.70
06020408;Lichterfelde-Süd;1.22;4.90;1.39;4.36;0.51;16.28
06020409;Königsberger Str.;0.97;2.63;1.00;2.12;0.84;12.03
06020410;Oberhofer Platz;0.69;1.83;0.78;1.62;0.16;5.50
06020411;Schütte-Lanz-Str.;0.91;2.51;1.02;2.25;0.28;8.26
06030501;Berlepschstr.;0.65;1.59;0.78;1.48;0.16;4.23
06030502;Zehlendorf-Süd;1.55;4.90;1.63;4.11;1.05;19.44
06030503;Zehlendorf-Mitte;1.12;3.16;1.24;2.86;0.60;6.91
06030504;Teltower Damm;0.71;1.22;0.79;1.14;0.34;2.73
06030605;Botanischer Garten;0.78;2.70;0.88;2.53;0.34;5.17
06030606;Hindenburgdamm;1.37;3.60;1.38;2.73;1.33;11.40
06030607;Goerzwerke;0.49;2.61;0.76;2.52;0.00;3.57
06030608;Schweizer Viertel;0.62;1.65;0.67;1.67;0.37;1.23
06030609;Augustaplatz;0.73;2.31;0.78;2.06;0.47;6.15
06030610;Lichterfelde-West;0.42;2.03;0.43;1.70;0.38;6.71
06040701;Wannsee;0.42;1.47;0.51;1.43;0.00;1.92
06040702;Düppel;1.52;2.89;1.67;2.45;0.65;10.67
